Flight_Number,Departure_Time,Arrival_Time,Status,Travel_Class,Price,Departure_Airport_id,Arrival_Airport_id
AD7607E,2026-03-26 06:00:00,2026-03-26 07:02:00,Scheduled,Economy,257.0,7,24
AD7607B,2026-03-26 06:00:00,2026-03-26 07:02:00,Scheduled,Business,642.5,7,24
AD7607F,2026-03-26 06:00:00,2026-03-26 07:02:00,Scheduled,First Class,1028.0,7,24
AD6949E,2026-04-02 06:00:00,2026-04-02 07:02:00,Scheduled,Economy,117.0,7,24
AD6949B,2026-04-02 06:00:00,2026-04-02 07:02:00,Scheduled,Business,292.5,7,24
AD6949F,2026-04-02 06:00:00,2026-04-02 07:02:00,Scheduled,First Class,468.0,7,24
AD2424E,2026-04-09 06:00:00,2026-04-09 07:02:00,Scheduled,Economy,156.0,7,24
AD2424B,2026-04-09 06:00:00,2026-04-09 07:02:00,Scheduled,Business,390.0,7,24
AD2424F,2026-04-09 06:00:00,2026-04-09 07:02:00,Scheduled,First Class,624.0,7,24
AD3902E,2026-04-16 06:00:00,2026-04-16 07:02:00,Scheduled,Economy,106.0,7,24
AD3902B,2026-04-16 06:00:00,2026-04-16 07:02:00,Scheduled,Business,265.0,7,24
AD3902F,2026-04-16 06:00:00,2026-04-16 07:02:00,Scheduled,First Class,424.0,7,24
AD5498E,2026-04-23 06:00:00,2026-04-23 07:02:00,Scheduled,Economy,104.0,7,24
AD5498B,2026-04-23 06:00:00,2026-04-23 07:02:00,Scheduled,Business,260.0,7,24
AD5498F,2026-04-23 06:00:00,2026-04-23 07:02:00,Scheduled,First Class,416.0,7,24
AD5955E,2026-04-30 06:00:00,2026-04-30 07:02:00,Scheduled,Economy,201.0,7,24
AD5955B,2026-04-30 06:00:00,2026-04-30 07:02:00,Scheduled,Business,502.5,7,24
AD5955F,2026-04-30 06:00:00,2026-04-30 07:02:00,Scheduled,First Class,804.0,7,24
AD6739E,2026-05-07 06:00:00,2026-05-07 07:02:00,Scheduled,Economy,157.0,7,24
AD6739B,2026-05-07 06:00:00,2026-05-07 07:02:00,Scheduled,Business,392.5,7,24
AD6739F,2026-05-07 06:00:00,2026-05-07 07:02:00,Scheduled,First Class,628.0,7,24
AD4766E,2026-05-14 06:00:00,2026-05-14 07:02:00,Scheduled,Economy,157.0,7,24
AD4766B,2026-05-14 06:00:00,2026-05-14 07:02:00,Scheduled,Business,392.5,7,24
AD4766F,2026-05-14 06:00:00,2026-05-14 07:02:00,Scheduled,First Class,628.0,7,24
AD5326E,2026-05-21 06:00:00,2026-05-21 07:02:00,Scheduled,Economy,162.0,7,24
AD5326B,2026-05-21 06:00:00,2026-05-21 07:02:00,Scheduled,Business,405.0,7,24
AD5326F,2026-05-21 06:00:00,2026-05-21 07:02:00,Scheduled,First Class,648.0,7,24
AD6527E,2026-05-28 06:00:00,2026-05-28 07:02:00,Scheduled,Economy,211.0,7,24
AD6527B,2026-05-28 06:00:00,2026-05-28 07:02:00,Scheduled,Business,527.5,7,24
AD6527F,2026-05-28 06:00:00,2026-05-28 07:02:00,Scheduled,First Class,844.0,7,24
AD4688E,2026-06-04 06:00:00,2026-06-04 07:02:00,Scheduled,Economy,256.0,7,24
